image_name,path,label,rational_en,basename
001_above00230.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\001_above00230.JPG,NG,"Because there is little scorching on the egg white, but the yolk is broken.",above00230.JPG
002_above00034.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\002_above00034.JPG,NG,"Because the yolk is round and clean, but the yolk membrane is wrinkled, and there is scorching on the edge of the egg white.",above00034.JPG
003_above01063.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\003_above01063.JPG,OK,"Because the yolk is round, clean, and soft-cooked, and there is little scorching on the egg white.",above01063.JPG
004_above00979.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\004_above00979.JPG,OK,"Because the yolk is off-center but is round, clean, soft-cooked, and there is little scorching on the egg white.",above00979.JPG
005_above01079.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\005_above01079.JPG,NG,"Because the yolk is round, clean, and soft-cooked with little scorching on the egg white, but the egg white is irregular in shape and has bubbles on the edge.",above01079.JPG
006_above00099.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\006_above00099.JPG,NG,"Because the yolk is soft-cooked with little scorching on the egg white, but there are bubbles in the yolk and the egg white is irregularly shaped.",above00099.JPG
007_above00305.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\007_above00305.JPG,NG,"Because the yolk is soft-cooked and the egg white is well-shaped, but the yolk membrane is wrinkled and the scorching on the lower part of the egg white is prominent.",above00305.JPG
008_above00225.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\008_above00225.JPG,OK,"Because the yolk is off-center but is round, clean, soft-cooked, and there is little scorching on the egg white.",above00225.JPG
009_above00714.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\009_above00714.JPG,OK,"Because the egg white is slightly irregular in shape, but the yolk is round, clean, and soft-cooked, with little scorching on the egg white.",above00714.JPG
010_above00561.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\010_above00561.JPG,NG,"Because the egg white is well-shaped with no scorching, but the yolk and the egg white are mixed together, indicating overcooking.",above00561.JPG
011_above01015.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\011_above01015.JPG,OK,"Because there is scorching around the entire edge of the egg white, but the shapes of both the yolk and the egg white are round and clean, and the yolk is centrally located and soft-cooked.",above01015.JPG
012_above00092.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\012_above00092.JPG,NG,"Because the egg white is well-shaped with little scorching, but the yolk appears overcooked in its yellowness, has wrinkles on its membrane, and is off-center.",above00092.JPG
013_above01084.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\013_above01084.JPG,NG,"Because the shapes of the egg white and yolk are round and clean, but the egg white looks brownish, and the egg white is encroaching into the yolk.",above01084.JPG
014_above00638.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\014_above00638.JPG,NG,"Because the shapes of the egg white and yolk are round and clean with the yolk being soft-cooked, but the yolk is broken and there are bubbles in the egg white.",above00638.JPG
015_above00671.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\015_above00671.JPG,NG,"Because the egg white is well-shaped and the yolk is soft-cooked, but there is scorching on the upper part of the egg white and large bubbles in both the yolk and the egg white.",above00671.JPG
016_above00097.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\016_above00097.JPG,NG,"Because there is little scorching on the egg white, it is well-shaped, and the yolk is soft-cooked, but the yolk is broken.",above00097.JPG
017_above00680.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\017_above00680.JPG,NG,"Because the shapes of the egg white and yolk are clean and there is little scorching on the egg white, and it is soft-cooked, but there is some egg white in the yolk.",above00680.JPG
018_above00734.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\018_above00734.JPG,OK,"Because the shape of the egg white is slightly irregular, but the shape of the yolk is round and clean, and it is soft-cooked, with no scorching on the egg white.",above00734.JPG
019_above00946.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\019_above00946.JPG,OK,"Because there are some bubbles in the egg white, but the shapes of both the egg white and yolk are round and clean, the yolk is centrally located and soft-cooked, with no scorching on the egg white.",above00946.JPG
020_above01091.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\020_above01091.JPG,OK,"Because the shapes of both the egg white and yolk are round and clean, with no scorching on the egg white, and the yolk is soft-cooked.",above01091.JPG
021_above01005.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\021_above01005.JPG,OK,"Because the egg white is irregular in shape, but the yolk is round and clean, and it is soft-cooked, with no scorching on the egg white.",above01005.JPG
022_above00582.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\022_above00582.JPG,NG,"Because the yolk is round, clean, and soft-cooked, but the egg white has penetrated the yolk, and there is scorching on the egg white.",above00582.JPG
023_above00338.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\023_above00338.JPG,NG,"Because the egg white is well-shaped with little scorching, but the yolk is broken.",above00338.JPG
024_above00902.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\024_above00902.JPG,OK,"Because the shapes of the yolk and egg white are round and clean, the yolk is soft-cooked, and there is little scorching on the egg white.",above00902.JPG
025_above00341.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\025_above00341.JPG,NG,"Because the shapes of the egg white and yolk are round and clean, but there are bubbles in the yolk and black scorching on the upper part of the egg white.",above00341.JPG
026_above00900.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\026_above00900.JPG,OK,"Because there is scorching on part of the egg white, but the scorching is light, and the shapes of the egg white and yolk are clean and the yolk is soft-cooked, with little scorching on the edge of the egg white.",above00900.JPG
027_above00792.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\027_above00792.JPG,OK,"Because the shape of the egg white is slightly irregular, with significant scorching on the upper part, but the yolk is round, clean, and soft-cooked, with no scorching other than on the upper part of the egg white.",above00792.JPG
